City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,puerto ayora,-0.7393,-90.3518,75.47,86,35,7.47,EC,1702258486
159,ystalyfera,51.7672,-3.7808,51.46,81,100,16.98,GB,1702258486
160,quibala,-10.7337,14.98,62.69,99,100,0.43,AO,1702258487
161,kayangel,8.0823,134.7173,83.75,78,11,15.88,PW,1702258446
162,mogok,22.9167,96.5,64.02,69,11,1.32,MM,1702258487
163,kristiansund,63.1115,7.732,32.65,74,40,5.75,NO,1702258488
164,changping,40.2186,116.2197,26.24,83,98,2.26,CN,1702258488
165,flying fish cove,-10.4217,105.6791,82.08,74,40,10.36,CX,1702258299
166,tura,25.5198,90.2201,62.47,61,0,1.99,IN,1702258488
167,aasiaat,68.7098,-52.8699,26.17,89,100,12.97,GL,1702258489
168,trinidad,-14.8333,-64.9,80.31,73,82,3.91,BO,1702258466
169,paranhos,-23.8928,-55.4311,65.8,98,96,3.47,BR,1702258489
170,karratha,-20.7377,116.8463,86.83,16,6,20.22,AU,1702258388
171,wad rawah,15.1603,33.1397,74.62,22,2,9.1,SD,1702258490
172,tinajo,29.0788,-13.7081,68.88,32,0,4.61,ES,1702258490
173,moree,-29.4667,149.85,89.74,24,0,9.64,AU,1702258490
174,hamilton,39.1834,-84.5333,34.77,80,100,11.5,US,1702258491
175,goundam,16.4145,-3.6708,66.58,20,3,10.11,ML,1702258491
176,geraldton,-28.7667,114.6,86.41,12,0,25.32,AU,1702258286
177,woolgoolga,-30.1106,153.2007,80.47,58,0,13.56,AU,1702258491
178,suva,-18.1416,178.4415,81.88,57,40,12.66,FJ,1702258492
179,klyuchi,52.2667,79.1667,-7.37,89,16,6.4,RU,1702258492
180,lihue,21.9789,-159.3672,80.19,77,20,9.22,US,1702258492
181,rivera,-30.9053,-55.5508,61.99,96,0,8.08,UY,1702258493
182,namibe,-15.1961,12.1522,71.19,78,88,5.91,AO,1702258493
183,lisala,2.15,21.5167,72.07,85,93,0.4,CD,1702258494
184,utrik,11.2278,169.8474,80.94,77,100,19.46,MH,1702258494
185,sangueya,10.7,-14.3667,74.34,82,100,1.05,GN,1702258494
186,mana,5.6592,-53.7767,77.85,91,33,7.54,GF,1702258494
187,bardsir,29.9227,56.5743,44.69,24,43,3.53,IR,1702258495
